L = 12, J1 = 0.65

0.01, 0.6666666666666665
0.030204081632653063, 0.6666666666666665
0.05040816326530612, 0.6666666666666665
0.07061224489795918, 0.6666666664261776
0.09081632653061225, 0.6666666637808987
0.1110204081632653, 0.6666665939896379
0.13122448979591836, 0.6666661123009036
0.15142857142857144, 0.6666644942336531
0.1716326530612245, 0.666659621973706
0.19183673469387755, 0.6666460465002365
0.2120408163265306, 0.666617519195079
0.23224489795918368, 0.6665490438270181
0.2524489795918367, 0.6663950549943656
0.2726530612244898, 0.6660571353859539
0.29285714285714287, 0.6653193722842574
0.3130612244897959, 0.6636808373813822
0.333265306122449, 0.6605801892461967
0.35346938775510206, 0.6555702670118162
0.3736734693877551, 0.6504838137650748
0.39387755102040817, 0.6475171495793829
0.41408163265306125, 0.6480799339657584
0.4342857142857143, 0.6503877121226992
0.45448979591836736, 0.6522334819266702
0.4746938775510204, 0.653015127383596
0.49489795918367346, 0.6526829375153549
0.5151020408163265, 0.651445019313357
0.5353061224489796, 0.649683397165836
0.5555102040816327, 0.6464804970176432
0.5757142857142857, 0.6390596287167941
0.5959183673469388, 0.6166568965627075
0.6161224489795918, 0.5648839065969489
0.6363265306122449, 0.5798964978233481
0.656530612244898, 0.5971459445563818
0.676734693877551, 0.6257664606835905
0.6969387755102041, 0.6257524610611394
0.7171428571428572, 0.6233221072288588
0.7373469387755102, 0.6253893705888649
0.7575510204081632, 0.6249115711158177
0.7777551020408163, 0.6231217729660915
0.7979591836734694, 0.621732574237075
0.8181632653061225, 0.6159216859707646
0.8383673469387755, 0.6119719083984335
0.8585714285714285, 0.6111851093325072
0.8787755102040816, 0.6118375575809503
0.8989795918367347, 0.6101149805132751
0.9191836734693878, 0.6114255398049986
0.9393877551020409, 0.6138953661624984
0.9595918367346938, 0.6130590943473588
0.9797959183673469, 0.6111376998479267
1.0, 0.6135229395192401
