L = 12, J1 = 0.7

0.01, 0.6666666666666665
0.030204081632653063, 0.6666666666666665
0.05040816326530612, 0.6666666666666665
0.07061224489795918, 0.6666666642618444
0.09081632653061225, 0.666666623296406
0.1110204081632653, 0.6666662252967135
0.13122448979591836, 0.6666641553955622
0.15142857142857144, 0.6666573408053615
0.1716326530612245, 0.6666372155484099
0.19183673469387755, 0.6665838387026206
0.2120408163265306, 0.6664442617803923
0.23224489795918368, 0.666085572384943
0.2524489795918367, 0.6651903292816315
0.2726530612244898, 0.66305372930621
0.29285714285714287, 0.6588589466060291
0.3130612244897959, 0.6530428417541028
0.333265306122449, 0.6487858043260606
0.35346938775510206, 0.6486962913913424
0.3736734693877551, 0.6513669007226482
0.39387755102040817, 0.653556609402384
0.41408163265306125, 0.654762429098235
0.4342857142857143, 0.6550048624307707
0.45448979591836736, 0.6546987547396667
0.4746938775510204, 0.6538597372279972
0.49489795918367346, 0.6528125717082403
0.5151020408163265, 0.6511362225785214
0.5353061224489796, 0.649807634631503
0.5555102040816327, 0.6474265020557883
0.5757142857142857, 0.6420025025486078
0.5959183673469388, 0.6288303973428815
0.6161224489795918, 0.5976605222807378
0.6363265306122449, 0.5780216700229028
0.656530612244898, 0.5809282591730153
0.676734693877551, 0.6101803117101834
0.6969387755102041, 0.6226859243428247
0.7171428571428572, 0.6253338400546583
0.7373469387755102, 0.6250311411646755
0.7575510204081632, 0.6249105360206757
0.7777551020408163, 0.6249161153733589
0.7979591836734694, 0.6193700650786145
0.8181632653061225, 0.6204289535923793
0.8383673469387755, 0.6034414239058852
0.8585714285714285, 0.6114973268816789
0.8787755102040816, 0.6103055136182371
0.8989795918367347, 0.6045629799238426
0.9191836734693878, 0.6113853845596184
0.9393877551020409, 0.6185403490759371
0.9595918367346938, 0.611718188676727
0.9797959183673469, 0.6158174417176097
1.0, 0.6151744445835363
